No.,Time,Source,Destination,Protocol,Length,Info
1,0,203.242.85.196,189.93.30.233,ICMP,60,"Echo (ping) request  id=0xea27, seq=3213/36108, ttl=61 (no response found!)"
2,0.000007,210.209.29.72,203.242.64.23,TCP,1514,443  >  57658 [ACK] Seq=1 Ack=1 Win=245 Len=1460
3,0.000007,108.177.52.154,133.251.186.6,TCP,74,51779  >  23 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM TSval=866875475 TSecr=0 WS=128
4,0.000018,60.181.32.144,203.242.66.199,TCP,1468,63875  >  35089 [ACK] Seq=1 Ack=1 Win=1025 Len=1414
5,0.00003,60.181.32.144,203.242.66.199,TCP,1468,63875  >  35089 [ACK] Seq=1415 Ack=1 Win=1025 Len=1414
6,0.000046,60.181.32.144,203.242.66.199,TCP,1468,63875  >  35089 [ACK] Seq=2829 Ack=1 Win=1025 Len=1414
7,0.00006,60.181.32.144,203.242.66.199,TCP,1468,63875  >  35089 [ACK] Seq=4243 Ack=1 Win=1025 Len=1414
8,0.000065,202.235.195.33,13.148.76.84,TCP,1502,51787  >  443 [ACK] Seq=1 Ack=1 Win=657 Len=1448
9,0.000104,23.191.255.233,202.235.195.144,TCP,1514,443  >  61038 [ACK] Seq=1 Ack=1 Win=1392 Len=1448 TSval=1581989533 TSecr=4214194534
10,0.000105,203.242.68.75,70.220.177.250,TCP,1506,80  >  54848 [ACK] Seq=1 Ack=1 Win=480 Len=1440 TSval=2173660010 TSecr=1344496330
11,0.000109,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=1449 Ack=1 Win=657 Len=1440
12,0.000112,23.191.255.233,202.235.195.144,TCP,1514,443  >  61038 [ACK] Seq=1449 Ack=1 Win=1392 Len=1448 TSval=1581989533 TSecr=4214194534
13,0.000112,203.242.68.75,70.220.177.250,TCP,1506,80  >  54848 [ACK] Seq=1441 Ack=1 Win=480 Len=1440 TSval=2173660010 TSecr=1344496330
14,0.000123,185.148.48.141,133.251.129.214,TCP,54,51942  >  62275 [SYN] Seq=0 Win=1024 Len=0
15,0.000124,23.191.255.233,202.235.195.144,TCP,1514,443  >  61038 [ACK] Seq=2897 Ack=1 Win=1392 Len=1448 TSval=1581989533 TSecr=4214194534
16,0.000125,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=2889 Ack=1 Win=657 Len=1440
17,0.000127,2a01:5d98:c739:8df7:2802:f074:109:7c,2001:7e7d:6f9:db6c:afff:800f:7f46:752,DNS,478,Standard query response 0xe899[Packet size limited during capture]
18,0.000128,3.131.145.67,163.171.1.125,TCP,66,443  >  62026 [ACK] Seq=1 Ack=1 Win=16359 Len=0 TSval=1631208083 TSecr=851307124
19,0.000129,126.187.209.52,203.242.68.95,TCP,54,50022  >  5058 [ACK] Seq=1 Ack=1 Win=26723 Len=0
